"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","DNK","Denmark","ST","Level, ratio or index","A","Annual","2000","2000","PC","Percentage","0","Units",,,4.325,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","DNK","Denmark","ST","Level, ratio or index","A","Annual","2001","2001","PC","Percentage","0","Units",,,4.525,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","DNK","Denmark","ST","Level, ratio or index","A","Annual","2002","2002","PC","Percentage","0","Units",,,4.58333333333333,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","DNK","Denmark","ST","Level, ratio or index","A","Annual","2003","2003","PC","Percentage","0","Units",,,5.40833333333333,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","DNK","Denmark","ST","Level, ratio or index","A","Annual","2004","2004","PC","Percentage","0","Units",,,5.5,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","DNK","Denmark","ST","Level, ratio or index","A","Annual","2005","2005","PC","Percentage","0","Units",,,4.84166666666667,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","DNK","Denmark","ST","Level, ratio or index","A","Annual","2006","2006","PC","Percentage","0","Units",,,3.90833333333333,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","DNK","Denmark","ST","Level, ratio or index","A","Annual","2007","2007","PC","Percentage","0","Units",,,3.75,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","DNK","Denmark","ST","Level, ratio or index","A","Annual","2008","2008","PC","Percentage","0","Units",,,3.68333333333333,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","DNK","Denmark","ST","Level, ratio or index","A","Annual","2009","2009","PC","Percentage","0","Units",,,6.40833333333333,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","DNK","Denmark","ST","Level, ratio or index","A","Annual","2010","2010","PC","Percentage","0","Units",,,7.75,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","DNK","Denmark","ST","Level, ratio or index","A","Annual","2011","2011","PC","Percentage","0","Units",,,7.75833333333333,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","DNK","Denmark","ST","Level, ratio or index","A","Annual","2012","2012","PC","Percentage","0","Units",,,7.78333333333333,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","DNK","Denmark","ST","Level, ratio or index","A","Annual","2013","2013","PC","Percentage","0","Units",,,7.375,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","DNK","Denmark","ST","Level, ratio or index","A","Annual","2014","2014","PC","Percentage","0","Units",,,6.925,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","DNK","Denmark","ST","Level, ratio or index","A","Annual","2015","2015","PC","Percentage","0","Units",,,6.26666666666667,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","DNK","Denmark","ST","Level, ratio or index","A","Annual","2016","2016","PC","Percentage","0","Units",,,5.98333333333333,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","DNK","Denmark","ST","Level, ratio or index","A","Annual","2017","2017","PC","Percentage","0","Units",,,5.81666666666667,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","DNK","Denmark","ST","Level, ratio or index","A","Annual","2018","2018","PC","Percentage","0","Units",,,5.15,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","DNK","Denmark","ST","Level, ratio or index","A","Annual","2019","2019","PC","Percentage","0","Units",,,5.025,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","DNK","Denmark","ST","Level, ratio or index","A","Annual","2020","2020","PC","Percentage","0","Units",,,5.625,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","DNK","Denmark","ST","Level, ratio or index","A","Annual","2021","2021","PC","Percentage","0","Units",,,5.1,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","DNK","Denmark","ST","Level, ratio or index","A","Annual","2022","2022","PC","Percentage","0","Units",,,4.475,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","JPN","Japan","ST","Level, ratio or index","A","Annual","2000","2000","PC","Percentage","0","Units",,,4.71666666666667,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","JPN","Japan","ST","Level, ratio or index","A","Annual","2001","2001","PC","Percentage","0","Units",,,5.03333333333333,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","JPN","Japan","ST","Level, ratio or index","A","Annual","2002","2002","PC","Percentage","0","Units",,,5.375,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","JPN","Japan","ST","Level, ratio or index","A","Annual","2003","2003","PC","Percentage","0","Units",,,5.25833333333333,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","JPN","Japan","ST","Level, ratio or index","A","Annual","2004","2004","PC","Percentage","0","Units",,,4.71666666666667,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","JPN","Japan","ST","Level, ratio or index","A","Annual","2005","2005","PC","Percentage","0","Units",,,4.425,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","JPN","Japan","ST","Level, ratio or index","A","Annual","2006","2006","PC","Percentage","0","Units",,,4.14166666666667,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","JPN","Japan","ST","Level, ratio or index","A","Annual","2007","2007","PC","Percentage","0","Units",,,3.84166666666667,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","JPN","Japan","ST","Level, ratio or index","A","Annual","2008","2008","PC","Percentage","0","Units",,,3.99166666666667,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","JPN","Japan","ST","Level, ratio or index","A","Annual","2009","2009","PC","Percentage","0","Units",,,5.06666666666667,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","JPN","Japan","ST","Level, ratio or index","A","Annual","2010","2010","PC","Percentage","0","Units",,,5.05,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","JPN","Japan","ST","Level, ratio or index","A","Annual","2011","2011","PC","Percentage","0","Units",,,4.58333333333333,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","JPN","Japan","ST","Level, ratio or index","A","Annual","2012","2012","PC","Percentage","0","Units",,,4.35,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","JPN","Japan","ST","Level, ratio or index","A","Annual","2013","2013","PC","Percentage","0","Units",,,4.025,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","JPN","Japan","ST","Level, ratio or index","A","Annual","2014","2014","PC","Percentage","0","Units",,,3.59166666666667,,
