"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IRLT","Long-term interest rates, Per cent per annum","DNK","Denmark","A","Annual","2000","2000","PC","Percentage","0","Units",,,5.641833,,
"IRLT","Long-term interest rates, Per cent per annum","DNK","Denmark","A","Annual","2001","2001","PC","Percentage","0","Units",,,5.079167,,
"IRLT","Long-term interest rates, Per cent per annum","DNK","Denmark","A","Annual","2002","2002","PC","Percentage","0","Units",,,5.055917,,
"IRLT","Long-term interest rates, Per cent per annum","DNK","Denmark","A","Annual","2003","2003","PC","Percentage","0","Units",,,4.30775,,
"IRLT","Long-term interest rates, Per cent per annum","DNK","Denmark","A","Annual","2004","2004","PC","Percentage","0","Units",,,4.304584,,
"IRLT","Long-term interest rates, Per cent per annum","DNK","Denmark","A","Annual","2005","2005","PC","Percentage","0","Units",,,3.40375,,
"IRLT","Long-term interest rates, Per cent per annum","DNK","Denmark","A","Annual","2006","2006","PC","Percentage","0","Units",,,3.812,,
"IRLT","Long-term interest rates, Per cent per annum","DNK","Denmark","A","Annual","2007","2007","PC","Percentage","0","Units",,,4.286417,,
"IRLT","Long-term interest rates, Per cent per annum","DNK","Denmark","A","Annual","2008","2008","PC","Percentage","0","Units",,,4.284333,,
"IRLT","Long-term interest rates, Per cent per annum","DNK","Denmark","A","Annual","2009","2009","PC","Percentage","0","Units",,,3.586333,,
"IRLT","Long-term interest rates, Per cent per annum","DNK","Denmark","A","Annual","2010","2010","PC","Percentage","0","Units",,,2.926083,,
"IRLT","Long-term interest rates, Per cent per annum","DNK","Denmark","A","Annual","2011","2011","PC","Percentage","0","Units",,,2.72925,,
"IRLT","Long-term interest rates, Per cent per annum","DNK","Denmark","A","Annual","2012","2012","PC","Percentage","0","Units",,,1.403417,,
"IRLT","Long-term interest rates, Per cent per annum","DNK","Denmark","A","Annual","2013","2013","PC","Percentage","0","Units",,,1.745,,
"IRLT","Long-term interest rates, Per cent per annum","DNK","Denmark","A","Annual","2014","2014","PC","Percentage","0","Units",,,1.324833,,
"IRLT","Long-term interest rates, Per cent per annum","DNK","Denmark","A","Annual","2015","2015","PC","Percentage","0","Units",,,0.6905,,
"IRLT","Long-term interest rates, Per cent per annum","DNK","Denmark","A","Annual","2016","2016","PC","Percentage","0","Units",,,0.3203333,,
"IRLT","Long-term interest rates, Per cent per annum","DNK","Denmark","A","Annual","2017","2017","PC","Percentage","0","Units",,,0.4764167,,
"IRLT","Long-term interest rates, Per cent per annum","DNK","Denmark","A","Annual","2018","2018","PC","Percentage","0","Units",,,0.4548333,,
"IRLT","Long-term interest rates, Per cent per annum","DNK","Denmark","A","Annual","2019","2019","PC","Percentage","0","Units",,,-0.1834167,,
"IRLT","Long-term interest rates, Per cent per annum","DNK","Denmark","A","Annual","2020","2020","PC","Percentage","0","Units",,,-0.35925,,
"IRLT","Long-term interest rates, Per cent per annum","DNK","Denmark","A","Annual","2021","2021","PC","Percentage","0","Units",,,-0.06083333,,
"IRLT","Long-term interest rates, Per cent per annum","DNK","Denmark","A","Annual","2022","2022","PC","Percentage","0","Units",,,1.47775,,
"IR3TIB","Short-term interest rates, Per cent per annum","DNK","Denmark","A","Annual","2000","2000","PC","Percentage","0","Units",,,4.997201,,
"IR3TIB","Short-term interest rates, Per cent per annum","DNK","Denmark","A","Annual","2001","2001","PC","Percentage","0","Units",,,4.702664,,
"IR3TIB","Short-term interest rates, Per cent per annum","DNK","Denmark","A","Annual","2002","2002","PC","Percentage","0","Units",,,3.543719,,
"IR3TIB","Short-term interest rates, Per cent per annum","DNK","Denmark","A","Annual","2003","2003","PC","Percentage","0","Units",,,2.423354,,
"IR3TIB","Short-term interest rates, Per cent per annum","DNK","Denmark","A","Annual","2004","2004","PC","Percentage","0","Units",,,2.195047,,
"IR3TIB","Short-term interest rates, Per cent per annum","DNK","Denmark","A","Annual","2005","2005","PC","Percentage","0","Units",,,2.224245,,
"IR3TIB","Short-term interest rates, Per cent per annum","DNK","Denmark","A","Annual","2006","2006","PC","Percentage","0","Units",,,3.180477,,
"IR3TIB","Short-term interest rates, Per cent per annum","DNK","Denmark","A","Annual","2007","2007","PC","Percentage","0","Units",,,4.441652,,
"IR3TIB","Short-term interest rates, Per cent per annum","DNK","Denmark","A","Annual","2008","2008","PC","Percentage","0","Units",,,5.262557,,
"IR3TIB","Short-term interest rates, Per cent per annum","DNK","Denmark","A","Annual","2009","2009","PC","Percentage","0","Units",,,2.499274,,
"IR3TIB","Short-term interest rates, Per cent per annum","DNK","Denmark","A","Annual","2010","2010","PC","Percentage","0","Units",,,1.248442,,
"IR3TIB","Short-term interest rates, Per cent per annum","DNK","Denmark","A","Annual","2011","2011","PC","Percentage","0","Units",,,1.383979,,
"IR3TIB","Short-term interest rates, Per cent per annum","DNK","Denmark","A","Annual","2012","2012","PC","Percentage","0","Units",,,0.6200195,,
"IR3TIB","Short-term interest rates, Per cent per annum","DNK","Denmark","A","Annual","2013","2013","PC","Percentage","0","Units",,,0.2713604,,
"IR3TIB","Short-term interest rates, Per cent per annum","DNK","Denmark","A","Annual","2014","2014","PC","Percentage","0","Units",,,0.3149578,,
"IR3TIB","Short-term interest rates, Per cent per annum","DNK","Denmark","A","Annual","2015","2015","PC","Percentage","0","Units",,,-0.1233188,,
"IR3TIB","Short-term interest rates, Per cent per annum","DNK","Denmark","A","Annual","2016","2016","PC","Percentage","0","Units",,,-0.1442461,,
"IR3TIB","Short-term interest rates, Per cent per annum","DNK","Denmark","A","Annual","2017","2017","PC","Percentage","0","Units",,,-0.2637579,,
"IR3TIB","Short-term interest rates, Per cent per annum","DNK","Denmark","A","Annual","2018","2018","PC","Percentage","0","Units",,,-0.2992443,,
"IR3TIB","Short-term interest rates, Per cent per annum","DNK","Denmark","A","Annual","2019","2019","PC","Percentage","0","Units",,,-0.3719969,,
"IR3TIB","Short-term interest rates, Per cent per annum","DNK","Denmark","A","Annual","2020","2020","PC","Percentage","0","Units",,,-0.2405625,,
"IR3TIB","Short-term interest rates, Per cent per annum","DNK","Denmark","A","Annual","2021","2021","PC","Percentage","0","Units",,,-0.2300674,,
"IR3TIB","Short-term interest rates, Per cent per annum","DNK","Denmark","A","Annual","2022","2022","PC","Percentage","0","Units",,,0.615516,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","DNK","Denmark","A","Annual","2000","2000","PC","Percentage","0","Units",,,5.1471,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","DNK","Denmark","A","Annual","2001","2001","PC","Percentage","0","Units",,,3.4913,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","DNK","Denmark","A","Annual","2002","2002","PC","Percentage","0","Units",,,3.0355,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","DNK","Denmark","A","Annual","2003","2003","PC","Percentage","0","Units",,,2.1221,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","DNK","Denmark","A","Annual","2004","2004","PC","Percentage","0","Units",,,2.138,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","DNK","Denmark","A","Annual","2005","2005","PC","Percentage","0","Units",,,2.3647,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","DNK","Denmark","A","Annual","2006","2006","PC","Percentage","0","Units",,,3.6853,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","DNK","Denmark","A","Annual","2007","2007","PC","Percentage","0","Units",,,4.2407,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","DNK","Denmark","A","Annual","2008","2008","PC","Percentage","0","Units",,,4.3975,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","DNK","Denmark","A","Annual","2009","2009","PC","Percentage","0","Units",,,0.952,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","DNK","Denmark","A","Annual","2010","2010","PC","Percentage","0","Units",,,0.7254,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","DNK","Denmark","A","Annual","2011","2011","PC","Percentage","0","Units",,,0.4449,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","DNK","Denmark","A","Annual","2012","2012","PC","Percentage","0","Units",,,-0.0651,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","DNK","Denmark","A","Annual","2013","2013","PC","Percentage","0","Units",,,-0.0183,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","DNK","Denmark","A","Annual","2014","2014","PC","Percentage","0","Units",,,0.04,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","DNK","Denmark","A","Annual","2015","2015","PC","Percentage","0","Units",,,-0.21,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","DNK","Denmark","A","Annual","2016","2016","PC","Percentage","0","Units",,,-0.39,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","DNK","Denmark","A","Annual","2017","2017","PC","Percentage","0","Units",,,-0.49,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","DNK","Denmark","A","Annual","2018","2018","PC","Percentage","0","Units",,,-0.5,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","DNK","Denmark","A","Annual","2019","2019","PC","Percentage","0","Units",,,-0.62,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","DNK","Denmark","A","Annual","2020","2020","PC","Percentage","0","Units",,,-0.38,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","DNK","Denmark","A","Annual","2021","2021","PC","Percentage","0","Units",,,-0.41,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","DNK","Denmark","A","Annual","2022","2022","PC","Percentage","0","Units",,,1.55,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","A","Annual","2000","2000","PC","Percentage","0","Units",,,1.744417,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","A","Annual","2001","2001","PC","Percentage","0","Units",,,1.319,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","A","Annual","2002","2002","PC","Percentage","0","Units",,,1.263167,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","A","Annual","2003","2003","PC","Percentage","0","Units",,,1.00325,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","A","Annual","2004","2004","PC","Percentage","0","Units",,,1.492667,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","A","Annual","2005","2005","PC","Percentage","0","Units",,,1.35475,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","A","Annual","2006","2006","PC","Percentage","0","Units",,,1.7405,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","A","Annual","2007","2007","PC","Percentage","0","Units",,,1.6655,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","A","Annual","2008","2008","PC","Percentage","0","Units",,,1.467333,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","A","Annual","2009","2009","PC","Percentage","0","Units",,,1.33375,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","A","Annual","2010","2010","PC","Percentage","0","Units",,,1.148333,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","A","Annual","2011","2011","PC","Percentage","0","Units",,,1.102417,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","A","Annual","2012","2012","PC","Percentage","0","Units",,,0.8355833,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","A","Annual","2013","2013","PC","Percentage","0","Units",,,0.6896667,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","A","Annual","2014","2014","PC","Percentage","0","Units",,,0.5203333,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","A","Annual","2015","2015","PC","Percentage","0","Units",,,0.35,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","A","Annual","2016","2016","PC","Percentage","0","Units",,,-0.06625,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","A","Annual","2017","2017","PC","Percentage","0","Units",,,0.05166667,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","A","Annual","2018","2018","PC","Percentage","0","Units",,,0.065,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","A","Annual","2019","2019","PC","Percentage","0","Units",,,-0.1104167,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","A","Annual","2020","2020","PC","Percentage","0","Units",,,-0.005416667,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","A","Annual","2021","2021","PC","Percentage","0","Units",,,0.07166667,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","A","Annual","2022","2022","PC","Percentage","0","Units",,,0.2316667,,
"IR3TIB","Short-term interest rates, Per cent per annum","JPN","Japan","A","Annual","2003","2003","PC","Percentage","0","Units",,,0.08833333,,
"IR3TIB","Short-term interest rates, Per cent per annum","JPN","Japan","A","Annual","2004","2004","PC","Percentage","0","Units",,,0.08833333,,
"IR3TIB","Short-term interest rates, Per cent per annum","JPN","Japan","A","Annual","2005","2005","PC","Percentage","0","Units",,,0.09,,
"IR3TIB","Short-term interest rates, Per cent per annum","JPN","Japan","A","Annual","2006","2006","PC","Percentage","0","Units",,,0.324675,,
"IR3TIB","Short-term interest rates, Per cent per annum","JPN","Japan","A","Annual","2007","2007","PC","Percentage","0","Units",,,0.7458333,,
"IR3TIB","Short-term interest rates, Per cent per annum","JPN","Japan","A","Annual","2008","2008","PC","Percentage","0","Units",,,0.8466667,,
"IR3TIB","Short-term interest rates, Per cent per annum","JPN","Japan","A","Annual","2009","2009","PC","Percentage","0","Units",,,0.5783333,,
"IR3TIB","Short-term interest rates, Per cent per annum","JPN","Japan","A","Annual","2010","2010","PC","Percentage","0","Units",,,0.3833333,,
"IR3TIB","Short-term interest rates, Per cent per annum","JPN","Japan","A","Annual","2011","2011","PC","Percentage","0","Units",,,0.3325967,,
"IR3TIB","Short-term interest rates, Per cent per annum","JPN","Japan","A","Annual","2012","2012","PC","Percentage","0","Units",,,0.3272108,,
"IR3TIB","Short-term interest rates, Per cent per annum","JPN","Japan","A","Annual","2013","2013","PC","Percentage","0","Units",,,0.2367042,,
"IR3TIB","Short-term interest rates, Per cent per annum","JPN","Japan","A","Annual","2014","2014","PC","Percentage","0","Units",,,0.2049167,,
"IR3TIB","Short-term interest rates, Per cent per annum","JPN","Japan","A","Annual","2015","2015","PC","Percentage","0","Units",,,0.1696667,,
"IR3TIB","Short-term interest rates, Per cent per annum","JPN","Japan","A","Annual","2016","2016","PC","Percentage","0","Units",,,0.07366667,,
"IR3TIB","Short-term interest rates, Per cent per annum","JPN","Japan","A","Annual","2017","2017","PC","Percentage","0","Units",,,0.05933333,,
"IR3TIB","Short-term interest rates, Per cent per annum","JPN","Japan","A","Annual","2018","2018","PC","Percentage","0","Units",,,0.07233334,,
"IR3TIB","Short-term interest rates, Per cent per annum","JPN","Japan","A","Annual","2019","2019","PC","Percentage","0","Units",,,0.03108333,,
"IR3TIB","Short-term interest rates, Per cent per annum","JPN","Japan","A","Annual","2020","2020","PC","Percentage","0","Units",,,-0.03541667,,
"IR3TIB","Short-term interest rates, Per cent per annum","JPN","Japan","A","Annual","2021","2021","PC","Percentage","0","Units",,,-0.0655,,
"IR3TIB","Short-term interest rates, Per cent per annum","JPN","Japan","A","Annual","2022","2022","PC","Percentage","0","Units",,,-0.0295,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","JPN","Japan","A","Annual","2000","2000","PC","Percentage","0","Units",,,0.24143,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","JPN","Japan","A","Annual","2001","2001","PC","Percentage","0","Units",,,0.00184,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","JPN","Japan","A","Annual","2002","2002","PC","Percentage","0","Units",,,0.00195,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","JPN","Japan","A","Annual","2003","2003","PC","Percentage","0","Units",,,0.001,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","JPN","Japan","A","Annual","2004","2004","PC","Percentage","0","Units",,,0.001,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","JPN","Japan","A","Annual","2005","2005","PC","Percentage","0","Units",,,0.001,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","JPN","Japan","A","Annual","2006","2006","PC","Percentage","0","Units",,,0.255,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","JPN","Japan","A","Annual","2007","2007","PC","Percentage","0","Units",,,0.497,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","JPN","Japan","A","Annual","2008","2008","PC","Percentage","0","Units",,,0.211,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","JPN","Japan","A","Annual","2009","2009","PC","Percentage","0","Units",,,0.101,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","JPN","Japan","A","Annual","2010","2010","PC","Percentage","0","Units",,,0.087,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","JPN","Japan","A","Annual","2011","2011","PC","Percentage","0","Units",,,0.078,,
